code,type
653,41
654,22
654,71
654,74
654,60
654,7
654,28
655,22
655,83
655,71
655,74
655,60
655,7
655,28
655,34
655,76
656,64
656,5
656,50
657,68
658,70
659,16
659,5
659,14
659,50
660,6
660,70
661,63
661,19
662,6
662,23
662,60
662,79
662,50
663,16
663,64
663,5
663,74
664,64
664,79
665,23
665,71
665,74
665,44
665,50
666,70
666,39
666,51
666,3
667,22
667,67
667,71
668,17
668,14
669,74
669,54
669,44
669,38
669,76
670,60
670,65
670,61
671,64
671,74
672,64
672,83
672,76
673,16
673,65
674,74
674,60
674,50
675,6
675,23
675,60
675,79
675,50
676,19
677,31
677,83
677,74
677,82
677,38
677,61
677,59
678,70
678,4
679,14
680,22
680,71
680,74
680,60
680,28
681,68
682,67
682,74
682,51
683,5
683,65
684,16
685,70
686,64
686,28
686,59
687,70
687,5
687,33
688,22
688,71
688,74
688,60
688,7
688,28
689,6
689,82
689,61
689,59
690,78
690,31
690,70
691,76
692,70
692,16
692,5
692,19
693,70
693,5
694,5
694,69
694,10
694,53
695,22
695,32
696,70
696,41
697,70
698,23
698,28
698,3
698,52
698,50
698,32
698,59
699,68
700,81
700,61
700,59
701,18
701,43
702,6
702,16
702,23
702,5
702,71
702,50
703,22
703,16
703,5
703,71
703,74
703,14
703,82
704,6
704,83
705,57
705,70
705,5
706,70
706,67
706,51
706,38
707,39
707,60
707,76
707,3
708,17
708,31
708,70
709,16
709,10
709,53
710,18
710,43
711,74
711,18
711,43
712,31
712,70
713,5
713,55
714,6
714,83
715,5
715,33
715,79
715,53
716,79
716,3
717,31
717,70
717,73
718,65
718,59
719,7
719,28
719,51
720,22
720,71
720,74
720,69
721,5
721,8
721,33
722,17
722,70
722,48
722,38
722,18
723,16
723,5
723,19
724,22
724,71
724,74
724,60
725,22
725,74
725,7
725,37
725,28
725,44
726,64
726,14
727,68
728,70
728,20
729,6
729,16
729,23
729,64
730,83
730,65
731,65
732,68
732,70
732,48
732,41
733,23
734,5
734,10
735,6
735,71
736,70
736,21
736,67
737,31
737,70
737,74
737,60
738,22
738,67
738,60
738,7
738,38
739,67
739,76
739,45
740,10
741,5
741,82
741,19
742,64
742,5
742,14
742,79
743,61
743,59
743,2
744,64
745,23
745,44
746,70
747,31
747,5
747,71
748,70
748,54
748,37
749,70
749,67
749,34
750,22
751,22
751,74
751,60
751,59
752,64
752,74
752,59
753,20
754,70
754,45
754,15
755,64
755,65
755,50
755,59
756,70
756,5
757,23
757,64
757,5
757,71
757,3
758,5
758,33
759,31
759,70
759,67
760,5
760,19
761,70
761,3
762,6
762,23
763,59
763,2
764,16
764,23
764,19
764,50
765,68
765,17
766,67
766,76
767,57
767,65
767,82
767,66
767,61
767,19
768,54
768,37
768,73
768,45
769,47
769,43
770,47
770,70
770,73
771,17
771,65
771,50
772,16
773,5
773,33
773,53
774,17
774,70
774,83
774,36
775,68
776,16
777,47
777,43
778,22
778,31
778,71
779,70
779,64
779,54
780,31
780,40
781,82
781,19
782,22
782,74
782,3
783,5
783,74
783,60
783,54
784,39
784,21
784,64
784,60
785,48
785,21
785,64
785,51
785,55
785,49
786,70
786,65
786,63
787,6
787,14
788,5
788,79
788,18
789,71
789,74
789,60
789,65
789,28
789,32
790,19
791,31
791,67
791,64
791,45
791,43
792,70
792,67
792,7
792,37
792,76
793,5
793,10
794,70
794,67
794,42
794,15
795,16
796,79
796,80
796,18
797,31
797,67
797,73
798,68
798,70
798,48
798,41
799,73
800,67
800,76
800,45
801,5
802,3
803,16
803,5
803,66
804,17
804,14
805,59
806,23
806,71
806,74
806,60
807,70
808,31
808,70
808,16
808,23
808,74
808,82
809,5
809,33
810,70
811,31
811,70
812,74
812,60
812,7
812,44
812,59
813,70
813,67
813,19
814,70
815,6
815,16
816,17
816,70
816,21
816,54
817,17
817,83
817,76
818,83
818,74
818,60
818,44
819,22
819,74
819,60
819,28
820,31
820,67
820,73
821,71
821,74
821,29
821,45
822,31
822,70
822,67
822,82
822,73
822,69
822,42
823,71
823,79
823,53
824,66
824,19
824,59
825,70
825,5
826,67
827,70
828,61
829,65
830,17
830,5
830,83
830,3
831,57
831,27
831,70
831,50
831,59
832,70
832,5
832,79
832,80
833,23
833,5
833,19
834,23
834,82
835,45
836,68
836,50
837,70
837,5
838,65
839,47
840,17
840,70
840,8
840,84
840,36
841,70
842,17
842,70
842,64
842,3
843,70
843,23
844,26
845,5
845,59
845,2
846,70
846,5
847,60
847,28
847,3
847,32
848,39
848,74
848,60
848,28
849,78
849,70
850,70
850,67
850,9
851,31
851,70
851,67
851,7
851,73
852,10
853,73
854,70
854,74
855,70
855,41
857,31
857,74
857,7
857,34
857,38
857,61
857,12
857,42
857,62
858,33
858,76
858,45
859,23
859,65
860,68
860,8
860,76
861,70
861,74
861,60
861,54
861,51
862,68
863,68
863,16
863,50
864,57
865,70
865,21
866,8
866,19
867,22
867,71
867,74
867,60
867,28
868,17
868,64
868,18
869,70
869,67
869,51
870,17
870,8
870,72
871,5
871,71
871,33
872,64
872,41
873,22
873,17
873,31
873,9
873,79
874,47
875,70
875,67
875,9
876,31
876,70
876,67
876,60
876,65
877,68
878,17
878,70
879,6
879,64
879,74
879,44
880,70
880,8
881,57
881,59
882,74
882,60
882,65
883,64
884,17
885,16
885,5
885,14
886,12
887,70
887,74
888,16
888,5
888,82
889,64
889,14
890,17
890,31
890,70
891,70
891,74
892,31
892,70
892,67
892,82
892,73
892,69
892,3
892,42
893,16
893,64
894,14
895,70
895,83
895,41
896,10
896,53
896,32
897,47
897,73
898,84
898,14
899,59
899,2
900,68
900,70
900,74
900,65
901,70
901,74
901,3
902,6
902,23
902,5
903,70
903,67
904,5
904,65
905,24
905,5
905,8
905,61
906,6
906,28
906,18
907,74
907,60
907,28
908,54
908,82
909,23
909,82
909,38
910,31
910,70
910,67
910,41
910,42
911,47
911,7
912,76
912,45
913,70
913,74
914,31
914,42
915,68
915,65
916,5
916,71
916,80
917,6
917,23
917,60
917,44
917,50
918,70
919,3
919,52
920,31
920,67
920,65
920,34
920,38
920,63
921,70
921,44
922,74
922,49
923,70
924,53
926,31
926,70
926,67
926,54
926,73
926,15
927,31
927,70
927,67
927,82
927,73
927,3
927,42
928,70
928,65
929,31
929,67
929,73
930,65
930,49
931,5
931,10
932,83
933,64
933,18
933,3
934,5
934,74
934,65
934,53
935,16
935,83
936,9
937,83
937,70
937,23
937,5
938,16
938,64
938,5
938,65
938,50
939,7
939,82
939,62
940,70
940,60
940,3
941,17
941,44
942,68
943,59
943,2
944,70
944,83
944,54
944,73
945,47
945,17
945,48
946,70
946,28
946,18
947,70
947,41
948,17
948,70
948,41
949,68
949,65
949,50
950,70
951,62
952,60
952,7
952,62
953,74
953,65
953,28
953,59
954,16
954,5
954,65
955,70
955,21
955,67
955,51
956,65
956,61
957,70
958,5
958,84
958,33
959,68
960,22
960,31
960,71
961,16
961,5
962,17
962,31
962,82
962,73
963,5
963,33
964,22
964,74
964,60
964,28
964,38
964,59
965,68
965,76
966,31
966,70
966,73
966,42
967,68
968,31
968,67
968,34
969,22
969,74
969,29
969,32
970,68
971,70
971,74
971,60
972,59
972,2
973,70
973,74
973,60
974,83
974,31
974,70
974,71
974,74
974,73
975,70
975,80
976,70
977,74
977,65
977,28
977,59
978,59
978,2
980,5
980,60
980,59
980,2
981,83
981,33
981,10
982,17
982,84
982,49
983,70
983,39
983,64
983,60
983,51
983,3
984,47
984,18
985,59
985,2
986,70
987,67
987,34
988,57
