이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
이마라의 왕관|Crown of Emara|2018|data/boardgame_strategy_reg/2018/10/31/1540936654-915968_N_80x80_100_5_.jpg|6.768|7.69|Strategy Games|Economic,Medieval|Action Queue,Contracts,Hand Management,Highest-Lowest Scoring,Modular Board,Rondel,Solo / Solitaire Game,Worker Placement|256570|1|4|75|45|75|12|3.1
프리덤: 더 언더그라운드 레일로드|Freedom: The Underground Railroad|2013|wys2/swf_upload/2022/01/17/1642353844152283_lg_N_80x80_100_5_.jpg|6.767|7.77|Thematic Games|American Civil War,Economic,Educational,Political|Cooperative Game,Pick-up and Deliver,Point to Point Movement,Push Your Luck,Solo / Solitaire Game,Variable Player Powers|119506|1|4|120|60|120|13|2.9036
아베시저|Ave Caesar|1989|data/boardgame_strategy/2021/12/28/1640701804-431150_N_80x80_100_5_.jpg|6.771|7.58|Family Games|Ancient,Miniatures,Racing|Hand Management,Race,Track Movement|494|2|6|30|30|30|12|1.3576
와일드랜드|Wildlands|2018|wys2/swf_upload/2022/01/17/1642353873114498_lg_N_80x80_100_5_.jpg|6.769|8.21|Strategy Games|Fantasy,Fighting,Miniatures|Area Movement,Hand Management,Interrupts,Kill Steal,Secret Unit Deployment,Variable Player Powers|244654|2|4|60|30|60|14|2.1139
파워 스트러글|Power Struggle|2009|wys2/swf_upload/2022/01/17/1642353904862263_lg_N_80x80_100_5_.jpg|6.768|8.18|Strategy Games|Humor,Negotiation|Area Majority / Influence,Bribery|55697|3|5|105|105|105|12|3.3505
카탄: 왕좌의 게임|A Game of Thrones: Catan – Brotherhood of the Watch|2017|wys2/swf_upload/2022/01/17/164235393695977_lg_N_80x80_100_5_.jpg|6.767|8.17|Strategy Games|Civilization,Negotiation,Novel-based|Dice Rolling,Hand Management,Modular Board,Network and Route Building,Trading|229218|3|4|75|60|75|14|2.55
도망자|Fugitive|2016|wys2/swf_upload/2022/01/17/1642353970475003_lg_N_80x80_100_5_.png|6.758|6.68|Family Games|Bluffing,Card Game,Deduction,Number,Spies/Secret Agents|Hand Management,Hidden Movement,Memory,Secret Unit Deployment|197443|2|2|20|5|20|10|1.6543
램페이지|Terror in Meeple City|2013|wys2/swf_upload/2022/01/17/164235399582480_lg_N_80x80_100_5_.jpg|6.729|7.33|Family Games|Action / Dexterity,Horror|Area Movement,Flicking,Set Collection,Stacking and Balancing,Variable Player Powers|97903|2|4|45|45|45|8|1.4796
우봉고: 듀얼|Ubongo: Duel|2008|wys2/swf_upload/2022/01/17/164235402555726_lg_N_80x80_100_5_.jpg|6.769|7.81|Family Games|Puzzle,Real-time|Pattern Building|34969|2|2|40|15|40|8|1.7821
어센션: 성야의 부활|Ascension: Rise of Vigil|2013|wys2/swf_upload/2022/01/17/164235405054656_lg_N_80x80_100_5_.jpg|6.769|8.20|Strategy Games|Card Game,Fantasy|Deck, Bag, and Pool Building,Hand Management,Open Drafting|138233|2|4|30|30|30|13|2.2714
일급비밀스파이|Heimlich & Co.|1984|wys2/swf_upload/2022/01/17/164235408988117_lg_N_80x80_100_5_.png|6.758|7.07|Family Games|Bluffing,Spies/Secret Agents|Hidden Roles,Roll / Spin and Move|382|2|7|30|30|30|8|1.4851
장미전쟁|The Rose King|1992|wys2/swf_upload/2022/02/19/1645201444843975_lg_N_80x80_100_5_.jpg|6.765|6.94|Abstract Strategy Games|Abstract Strategy,Medieval|Area Majority / Influence,Hand Management,Tile Placement|201|2|4|30|30|30|10|1.9526
마라카이보|Maracaibo|2019|data/boardgame_strategy/2021/01/25/1611516422-960270_N_80x80_100_5_.png|6.763|8.50|Strategy Games|Economic,Exploration,Pirates|Contracts,End Game Bonuses,Events,Hand Management,Income,Movement Points,Narrative Choice / Paragraph,Point to Point Movement,Scenario / Mission / Campaign Game,Set Collection,Solo / Solitaire Game,Stock Holding,Sudden Death Ending,Tech Trees / Tech Tracks,Track Movement,Variable Set-up|276025|1|4|120|30|120|12|3.8982
올림포스|Olympos|2011|wys2/swf_upload/2022/01/17/1642354223443656_lg_N_80x80_100_5_.jpg|6.767|7.18|Strategy Games|Ancient,Civilization,Fighting,Mythology,Territory Building|Area Majority / Influence,Area Movement,Set Collection,Time Track|92319|2|5|90|45|90|10|2.9577
더 게이트|the GATE|2015|wys2/swf_upload/2022/01/17/1642354251183269_lg_N_80x80_100_5_.jpg|6.758|7.14|Wargames|Card Game|Deck, Bag, and Pool Building|182273|2|2|40|20|40|13|3
뉴 프런티어|New Frontiers|2019|data/boardgame_strategy/2021/02/08/1612776409-764515_N_80x80_100_5_.jpg|6.763|7.97|Strategy Games|Science Fiction,Space Exploration|Action Drafting,Follow,Increase Value of Unchosen Resources,Open Drafting,Race,Turn Order: Claim Action,Variable Phase Order,Variable Player Powers|255692|2|5|75|45|75|14|2.8795
장미의 이름|The Name of the Rose|2008|wys2/swf_upload/2022/01/17/164235431775185_lg_N_80x80_100_5_.jpg|6.762|7.69|Family Games|Bluffing,Deduction,Medieval,Murder/Mystery,Novel-based,Religious|Secret Unit Deployment,Worker Placement|35488|2|5|75|75|75|10|2.377
웨어하우스 51|Warehouse 51|2015|wys2/swf_upload/2022/01/17/164235434328525_lg_N_80x80_100_5_.png|6.764|7.29|Wargames|Card Game,Mythology|Auction/Bidding,Set Collection|177702|3|5|45|30|45|10|1.6667
엘픈랜드|Elfenland|1998|wys2/swf_upload/2022/01/17/1642354371154402_lg_N_80x80_100_5_.jpg|6.766|7.28|Family Games|Fantasy,Travel|Hand Management,Network and Route Building,Open Drafting,Point to Point Movement|10|2|6|60|60|60|10|2.1579
티츄 - 메탈 박스 에디션|Tichu|2011|data/boardgame_strategy/2017/04/12/1491976942-60355.gif|6.767|7.72|Strategy Games|Card Game|Hand Management,Ladder Climbing,Predictive Bid,Team-Based Game,Trick-taking|215|4|4|60|60|60|10|2.3351
버스 노선을 만들자 [교토시 교통국 시영버스 90주년 기념판]|Let's Make a Bus Route|2018|data/boardgame_strategy_reg/2018/11/21/1542782059-421183_N_80x80_100_5_.png|6.765|7.33|Family Games|Transportation|Bingo,Line Drawing,Network and Route Building,Paper-and-Pencil,Set Collection|251053|2|5|30|20|30|10|1.9565
데몬 워커|Demon Worker|2016|wys2/swf_upload/2022/01/17/164235444003437_lg_N_80x80_100_5_.png|6.762|7.34|Family Games||Worker Placement|216856|3|4|45|45|45|10|2.4375
카멜레온|The Chameleon|2017|wys2/swf_upload/2022/01/17/164235449297548_lg_N_80x80_100_5_.png|6.761|6.98|Party Games|Bluffing,Card Game,Deduction,Humor,Party Game,Word Game|Hidden Roles,Targeted Clues,Team-Based Game,Voting|227072|3|8|15|15|15|14|1.0638
원 나잇 레볼루션|One Night Revolution|2015|wys2/swf_upload/2022/01/17/1642354521158830_lg_N_80x80_100_5_.jpg|6.761|7.17|Party Games|Bluffing,Card Game,Deduction,Negotiation,Party Game,Science Fiction,Spies/Secret Agents|Hidden Roles,Role Playing,Team-Based Game,Variable Player Powers,Voting|176361|3|10|15|15|15|14|1.8571
중세 아카데미|Medieval Academy|2014|wys2/swf_upload/2022/01/17/1642354558984290_lg_N_80x80_100_5_.jpg|6.765|7.53|Family Games|Card Game,Medieval|Area Majority / Influence,Closed Drafting,Hand Management,Modular Board,Simultaneous Action Selection,Variable Set-up|154386|2|5|30|30|30|8|1.816
범인은 춤춘다|Hannin Wa Odoru|2013|wys2/swf_upload/2022/01/17/1642354594345071_lg_N_80x80_100_5_.jpg|6.750|6.82|Party Games|Bluffing,Deduction,Party Game|Hand Management,Take That|158991|3|8|10|10|10|8|1.1579
자금성|Gùgōng|2018|wys2/swf_upload/2022/01/17/1642354627331460_lg_N_80x80_100_5_.jpg|6.744|6.96|Strategy Games|Medieval,Travel|Area Majority / Influence,Hand Management,Set Collection,Worker Placement|250458|1|5|90|60|90|12|3.0906
1862 : 동부주의 철도 건설 시대|1862: Railway Mania in the Eastern Counties|2013|wys2/swf_upload/2022/01/17/1642354658653514_lg_N_80x80_100_5_.jpg|6.744|7.45|Strategy Games|Economic,Trains|Auction/Bidding,Market,Network and Route Building,Ownership,Stock Holding,Tile Placement,Victory Points as a Resource|66837|1|8|300|120|300|14|4.6163
트레져 체스트|Treasure Chest|2014|data/boardgame_strategy/2014/12/14/1418486319-763173_N_80x80_100_5_.png|6.763|9.00|Strategy Games|Expansion for Base-game||40688|2|6|75|75|75|9|2.619
스팀펑크 랠리|Steampunk Rally|2015|wys2/swf_upload/2022/01/17/1642354700568353_lg_N_80x80_100_5_.jpg|6.760|7.35|Family Games|Dice,Racing,Science Fiction|Closed Drafting,Dice Rolling,Modular Board,Race,Resource to Move,Simultaneous Action Selection,Track Movement,Variable Player Powers,Worker Placement with Dice Workers|162007|2|8|60|45|60|14|2.5502
헤르마고|Hermagor|2006|wys2/swf_upload/2022/01/17/1642354737564236_lg_N_80x80_100_5_.jpg|6.766|8.16|Strategy Games|Economic,Fantasy,Medieval,Transportation|Area Majority / Influence,Auction/Bidding,Commodity Speculation,Network and Route Building,Point to Point Movement|25224|2|5|120|90|120|12|3.176
맨해튼 프로모 카드|Manhattan: Promo Cards Mini-Expansion|2017|data/boardgame_strategy/2017/09/03/1504432207-535630.gif|6.765|7.87|Wargames|City Building,Expansion for Base-game|Area Majority / Influence,Hand Management|243258|2|4|0|0|0|0|0
당나귀 다리|Eselsbrücke|2011|wys2/swf_upload/2022/02/07/1644160539613566_lg_N_80x80_100_5_.png|6.755|6.97|Party Games|Memory|Memory,Storytelling|90009|3|12|45|30|45|8|1.7
쓰루 디 에이지스: 새 지도자와 문화유산 |Through the Ages: New Leaders and Wonders|2019|wys2/swf_upload/2022/02/24/1645643708311129_lg_N_80x80_100_5_.jpg|6.763|9.12|Strategy Games|Expansion for Base-game,Card Game,Civilization,Economic|Action Points,Auction/Bidding,Open Drafting|280833|2|4|120|120|120|14|4.1111
버건디의 성: 주사위 게임|The Castles of Burgundy: The Dice Game|2017|wys2/swf_upload/2022/01/17/1642354809561598_lg_N_80x80_100_5_.jpg|6.763|7.52|Family Games|City Building,Dice,Economic,Medieval,Territory Building|Dice Rolling,Hexagon Grid,Paper-and-Pencil|232988|1|5|30|15|30|10|1.8507
몰 오브 호러|Mall of Horror|2005|wys2/swf_upload/2022/01/17/164235483679541_lg_N_80x80_100_5_.jpg|6.757|7.30|Thematic Games|Horror,Negotiation,Zombies|Dice Rolling,Player Elimination,Simultaneous Action Selection,Voting|16772|3|6|60|60|60|14|1.9407
스타 렐름 프런티어|Star Realms: Frontiers|2017|wys2/swf_upload/2022/01/17/1642354870122073_lg_N_80x80_100_5_.png|6.763|9.00|Strategy Games|Card Game,Fighting,Science Fiction|Cooperative Game,Deck, Bag, and Pool Building,Open Drafting,Player Elimination,Solo / Solitaire Game,Take That|230253|1|4|45|20|45|12|1.881
황금 앙크|Ankh'or|2019|wys2/swf_upload/2022/01/17/1642354953269672_lg_N_80x80_100_5_.png|6.761|7.04|Family Games|Animals,Mythology|Open Drafting,Pattern Building,Set Collection,Tile Placement|271530|2|4|30|30|30|8|1.7143
블루라군|Blue Lagoon|2018|data/boardgame_strategy/2021/02/09/1612858388-29699_N_80x80_100_5_.jpg|6.762|7.18|Family Games|Abstract Strategy|Area Majority / Influence,Chaining,Connections,End Game Bonuses,Hexagon Grid,Network and Route Building,Score-and-Reset Game,Set Collection,Variable Set-up|244331|2|4|45|30|45|8|2.0336
컴뱃 커맨더 : 퍼시픽|Combat Commander: Pacific|2008|wys2/swf_upload/2022/01/17/1642355006847845_lg_N_80x80_100_5_.jpg|6.763|9.18|Wargames|Wargame,World War II|Campaign / Battle Card Driven,Hexagon Grid,Simulation,Variable Phase Order|28181|2|2|180|180|180|12|3.2303
딕싯 확장: 기념일|Dixit: Anniversary|2018|wys2/swf_upload/2022/01/17/1642355085626145_lg_N_80x80_100_5_.png|6.763|7.80|Party Games|Card Game,Expansion for Base-game,Humor,Party Game|Communication Limits,Simultaneous Action Selection,Storytelling,Targeted Clues,Voting|256237|3|6|60|60|60|8|1.1333
코코너츠|Coconuts|2013|wys2/swf_upload/2022/01/17/1642355136537196_lg_N_80x80_100_5_.jpg|6.748|6.87|Children's Games|Action / Dexterity,Animals,Children's Game|Push Your Luck,Take That|145639|2|4|20|20|20|6|1.0392
드래곤 퀘스트: 슬라임 레이스|Dragon Quest: Slime Race|0|wys2/swf_upload/2022/01/17/1642355206933628_lg_N_80x80_100_5_.jpg|6.758|7.35|Party Games|Card Game,Miniatures,Racing|Betting and Bluffing,Hand Management|123399|2|5|0|0|0|0|1.6667
라마|L.L.A.M.A.|2019|data/boardgame_strategy/2021/02/09/1612858199-530390_N_80x80_100_5_.jpg|6.761|7.27|Family Games|Card Game,Number|Hand Management,Matching|266083|2|6|20|20|20|8|1.0562
작은 새|Piepmatz|2018|data/boardgame_strategy_reg/2018/10/25/1540440490-100582_N_80x80_100_5_.jpg|6.759|7.11|Strategy Games|Animals,Card Game,Number|Hand Management,Open Drafting,Set Collection|246200|2|4|40|20|40|12|2.0909
바로니|Barony|2015|wys2/swf_upload/2022/01/17/164235525179912_lg_N_80x80_100_5_.jpg|6.759|7.47|Strategy Games|Abstract Strategy,Medieval,Territory Building|Area Majority / Influence,Area Movement,Modular Board|167513|2|4|45|45|45|14|2.2432
냥투|Go Stop|2016|data/boardgame_strategy/2017/04/07/1491542710-49744.gif|6.762|7.87|Family Games|Card Game|Hand Management,Push Your Luck,Set Collection|17530|2|5|60|60|60|8|2.2857
데드 패닉|Dead Panic|2013|wys2/swf_upload/2022/01/17/1642355372834927_lg_N_80x80_100_5_.jpg|6.762|7.87|Family Games|Zombies|Action Points,Cooperative Game,Dice Rolling,Hand Management,Variable Player Powers|133437|2|6|90|90|90|13|2.2558
힛 지 로드|Hit Z Road|2016|wys2/swf_upload/2022/01/17/1642355398716_lg_N_80x80_100_5_.jpg|6.755|7.14|Thematic Games|Fighting,Horror,Zombies|Auction/Bidding,Dice Rolling,Die Icon Resolution,End Game Bonuses,Player Elimination,Push Your Luck,Selection Order Bid,Solo / Solitaire Game|176083|1|4|60|30|60|12|1.8434
워해머 에이지 오브 지그마|Warhammer Age of Sigmar|2015|wys2/swf_upload/2022/01/16/1642262525029718_lg_N_80x80_100_5_.jpg|6.760|10.00|Wargames|Fantasy,Medieval,Miniatures,Wargame|Dice Rolling,Line of Sight,Measurement Movement,Modular Board,Stat Check Resolution,Variable Player Powers|180241|2|2|180|40|180|12|2.6364
차터스톤|Charterstone|2017|wys2/swf_upload/2022/01/17/1642355555336416_lg_N_80x80_100_5_.png|6.756|7.68|Strategy Games|City Building,Economic,Medieval|Catch the Leader,Hand Management,Legacy Game,Open Drafting,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Worker Placement|197376|1|6|75|45|75|14|2.8393
인피니티 건틀렛: 러브레터 게임|Infinity Gauntlet: A Love Letter Game|2020|data/boardgame_strategy_reg/2020/07/11/1594405165-399192_N_80x80_100_5_.png|6.760|7.00|Family Games|Card Game,Comic Book / Strip,Deduction,Movies / TV / Radio theme|Hand Management,Set Collection,Team-Based Game|304285|2|6|15|15|15|10|1.2105
왕은 죽었다|The King Is Dead|2015|wys2/swf_upload/2022/01/17/164235563232743_lg_N_80x80_100_5_.jpg|6.761|8.08|Strategy Games|Medieval,Political|Area Majority / Influence,Campaign / Battle Card Driven,Communication Limits,Hand Management,Map Reduction,Team-Based Game,Turn Order: Pass Order,Variable Set-up|172996|2|4|50|30|50|12|2.5254
콩이 아냐|Nicht die Bohne!|1999|wys2/swf_upload/2022/01/17/1642355677282386_lg_N_80x80_100_5_.jpg|6.758|7.11|Family Games|Card Game|Simultaneous Action Selection,Trading|192|3|6|45|45|45|10|1.3551
CO2|CO₂|2012|wys2/swf_upload/2022/01/17/1642355701143720_lg_N_80x80_100_5_.jpg|6.754|7.32|Strategy Games|Economic,Environmental,Industry / Manufacturing|Area Majority / Influence,Open Drafting,Semi-Cooperative Game,Solo / Solitaire Game,Worker Placement|72225|1|5|120|120|120|12|3.877
푸에블로|Pueblo|2002|wys2/swf_upload/2022/09/11/166283005983577_lg_N_80x80_100_5_.jpg|6.757|7.33|Abstract Strategy Games|Abstract Strategy|Enclosure,Tile Placement|3228|2|4|60|60|60|10|2.2524
다이아몬드|Diamant|2016|wys2/swf_upload/2022/01/29/1643382297512536_lg_N_80x80_100_5_.jpg|6.761|7.10|Family Games|Adventure,Bluffing,Exploration|Move Through Deck,Push Your Luck,Score-and-Reset Game,Simultaneous Action Selection|15512|3|8|30|30|30|8|1.1122
이스테이츠|The Estates|2018|wys2/swf_upload/2022/01/17/1642355780044282_lg_N_80x80_100_5_.jpg|6.759|8.29|Strategy Games|City Building,Economic|Area Majority / Influence,Auction/Bidding,Auction: Once Around,Closed Economy Auction,Take That|249381|2|5|60|40|60|10|2.3019
착한녀석들|GoodCritters|2018|wys2/swf_upload/2022/06/04/165431307087385_lg_N_80x80_100_5_.jpg|6.757|6.86|Party Games|Animals,Bluffing,Negotiation,Party Game|Bribery,Simultaneous Action Selection,Voting|255615|4|8|45|30|45|12|1.4286
스마트폰 주식회사|Smartphone Inc.|2018|wys2/swf_upload/2022/01/17/1642355918691379_lg_N_80x80_100_5_.png|6.759|8.11|Strategy Games|Economic,Industry / Manufacturing|Action Queue,Area Majority / Influence,Layering,Network and Route Building,Simultaneous Action Selection,Solo / Solitaire Game,Variable Set-up|246684|1|5|90|60|90|12|2.7459
다섯 군대의 전투|The Battle of Five Armies|2014|wys2/swf_upload/2022/01/17/1642355944344680_lg_N_80x80_100_5_.jpg|6.750|7.90|Thematic Games|Adventure,Fantasy,Fighting,Miniatures,Novel-based,Wargame|Area Majority / Influence,Area Movement,Dice Rolling,Hand Management|135219|2|2|240|90|240|13|3.5833
테이크 잇 이지!|Take it Easy!|1983|wys2/swf_upload/2022/06/09/1654705664644786_lg_N_80x80_100_5_.jpg|6.758|7.02|Abstract Strategy Games|Abstract Strategy,Puzzle|Bingo,Pattern Building,Tile Placement|128|1|8|20|20|20|10|1.484
시한 폭탄|Timebomb|2016|wys2/swf_upload/2022/01/17/164235607183686_lg_N_80x80_100_5_.jpg|6.760|7.01|Party Games|Bluffing,Card Game,Party Game,Spies/Secret Agents|Hidden Roles,Role Playing,Team-Based Game,Traitor Game|236217|4|8|30|1|30|10|1.0588
글룩스|Glüx|2016|wys2/swf_upload/2022/01/31/1643584551493798_lg_N_80x80_100_5_.jpg|6.758|7.71|Abstract Strategy Games|Abstract Strategy|Area Majority / Influence,Grid Movement|207207|2|4|45|30|45|8|1.6
덤불 속|In a Grove|2015|wys2/swf_upload/2022/02/02/1643792449628423_lg_N_80x80_100_5_.jpg|6.751|6.81|Abstract Strategy Games|Bluffing,Deduction,Murder/Mystery|Memory|102181|2|5|20|20|20|9|1.4634
히어로 디텍티드|Hero Detected!|2013|wys2/swf_upload/2022/01/17/1642356185912517_lg_N_80x80_100_5_.jpg|6.748|6.94|Wargames|Adventure,Fantasy,Maze,Video Game Theme||175482|2|4|60|30|60|8|0
볼텍스|Vortex|2016|wys2/swf_upload/2022/01/17/1642356226917140_lg_N_80x80_100_5_.jpg|6.760|8.20|Abstract Strategy Games|Abstract Strategy|Action Points|209290|1|6|60|15|60|8|2
서머너 워즈: 얼라이언스 - 마스터 셋|Summoner Wars: Alliances Master Set|2015|wys2/swf_upload/2022/01/17/1642356253317408_lg_N_80x80_100_5_.jpg|6.759|7.83|Customizable Games|Card Game,Fantasy,Fighting|Dice Rolling,Grid Movement,Hand Management,Variable Player Powers|158889|2|4|45|45|45|9|2.7234
노르망디 전투|The Battle for Normandy|2009|wys2/swf_upload/2022/01/17/16423562865716_lg_N_80x80_100_5_.jpg|6.760|8.93|Wargames|Wargame,World War II|Dice Rolling,Hexagon Grid,Movement Points,Simulation|32838|2|8|240|240|240|0|3.6984
서머너 워즈 : 마스터셋|Summoner Wars: Master Set|2011|wys2/swf_upload/2022/01/17/1642356382421767_lg_N_80x80_100_5_.jpg|6.754|6.95|Strategy Games|Card Game,Fantasy,Fighting|Deck Construction,Dice Rolling,Grid Movement,Hand Management,Stat Check Resolution,Variable Player Powers|93260|2|4|60|30|60|9|2.5126
사보티어 2|Saboteur 2 (expansion-only editions)|2011|wys2/swf_upload/2022/01/17/1642356426135271_lg_N_80x80_100_5_.png|6.743|6.93|Party Games|Expansion for Base-game,Bluffing,Card Game,Exploration,Fantasy,Party Game|Hand Management,Hidden Roles,Map Addition,Network and Route Building,Take That,Team-Based Game,Traitor Game|91072|2|12|45|45|45|8|1.5116
데드 맨스 드로우|Dead Man's Draw|2014|data/boardgame_strategy/2021/03/09/1615278322-801190_N_80x80_100_5_.png|6.742|6.95|Family Games|Card Game,Pirates|Push Your Luck,Set Collection,Take That,Variable Player Powers|149155|2|4|15|10|15|13|1.3388
카멜업 카드|Camel Up Cards|2016|wys2/swf_upload/2022/01/17/1642356510585220_lg_N_80x80_100_5_.png|6.756|7.20|Family Games|Card Game|Betting and Bluffing,Hand Management|192947|2|6|60|30|60|8|1.7368
배틀로어|BattleLore|2006|wys2/swf_upload/2022/01/16/1642272403923737_lg_N_80x80_100_5_.jpg|6.750|7.52|Wargames|Fantasy,Medieval,Miniatures,Wargame|Area Majority / Influence,Campaign / Battle Card Driven,Command Cards,Dice Rolling,Grid Movement,Hand Management,Hexagon Grid,Modular Board,Variable Player Powers|25417|2|2|60|60|60|10|2.7657
영웅들의 충돌: 깨어나는 곰! - 바르바로사 작전 1941 (2판)|Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition)|2012|wys2/swf_upload/2022/01/17/1642356539816513_lg_N_80x80_100_5_.jpg|6.755|7.72|Wargames|Wargame,World War II|Action Points,Dice Rolling,Hexagon Grid,Modular Board,Simulation|132028|2|4|180|60|180|13|3.2624
컬러 오브 파리|Colors of Paris|2019|data/boardgame_strategy/2021/02/03/1612344369-842489_N_80x80_100_5_.jpg|6.756|7.07|Strategy Games||Open Drafting,Set Collection,Variable Player Powers,Worker Placement|269160|2|4|60|40|60|10|2.1463
액시스 앤 얼라이즈 유럽 1940|Axis & Allies Europe 1940|2010|wys2/swf_upload/2022/01/17/1642356576343057_lg_N_80x80_100_5_.jpg|6.753|7.63|Wargames|Economic,Fighting,Wargame,World War II|Area Majority / Influence,Area Movement,Dice Rolling,Team-Based Game|61692|2|6|360|360|360|12|3.4851
러시안 레일로드: 아메리칸 레일로드|Russian Railroads: American Railroads|2016|wys2/swf_upload/2022/01/17/164235660181366_lg_N_80x80_100_5_.jpg|6.757|8.32|Strategy Games|Expansion for Base-game,Industry / Manufacturing,Trains|Worker Placement|206944|2|4|120|90|120|12|3.4286
국립 공원|PARKS|2019|data/boardgame_strategy_reg/2019/01/04/1546571296-638174_N_80x80_100_5_.jpg|6.754|7.69|Family Games|Animals,Environmental,Travel|Contracts,End Game Bonuses,Modular Board,Solo / Solitaire Game,Track Movement,Turn Order: Claim Action,Worker Placement|266524|1|5|60|30|60|10|2.1579
스타 워즈: 데스티니|Star Wars: Destiny|2016|wys2/swf_upload/2022/01/17/16423566334410_lg_N_80x80_100_5_.jpg|6.753|9.75|Customizable Games|Card Game,Collectible Components,Dice,Fighting,Movies / TV / Radio theme,Science Fiction|Dice Rolling,Hand Management,Variable Player Powers|205359|2|2|30|30|30|10|2.2976
피치카 미니|PitchCar Mini|2003|wys2/swf_upload/2022/01/17/1642356724914729_lg_N_80x80_100_5_.jpg|6.757|8.17|Family Games|Action / Dexterity,Racing|Flicking,Race|14254|2|8|30|30|30|6|1.1447
액시스 앤 얼라이즈: 과달카날|Axis & Allies:  Guadalcanal|2007|wys2/swf_upload/2022/01/17/1642356750683700_lg_N_80x80_100_5_.jpg|6.752|8.58|Wargames|Wargame,World War II|Area Movement,Dice Rolling|29259|2|2|120|120|120|10|2.5758
네비게이터|Navigator|0|wys2/swf_upload/2022/01/17/1642356781438632_lg_N_80x80_100_5_.jpg|6.757|7.97|Wargames|Card Game|Trick-taking|130934|3|6|0|0|0|8|1
미스터 잭 인 뉴욕|Mr. Jack in New York|2009|wys2/swf_upload/2022/01/17/1642356815542846_lg_N_80x80_100_5_.jpg|6.756|7.23|Strategy Games|Deduction,Murder/Mystery|Deduction,Grid Movement,Hexagon Grid,Variable Player Powers|55427|2|2|30|30|30|14|2.5375
제국의 투쟁|Struggle of Empires|2004|wys2/swf_upload/2022/01/17/1642356861331371_lg_N_80x80_100_5_.png|6.753|7.56|Strategy Games|Age of Reason,Civilization,Fighting,Political,Territory Building|Alliances,Area Majority / Influence,Area Movement,Auction/Bidding,Dice Rolling|9625|2|7|240|180|240|13|3.5915
이스케이프 룸: 더 게임|Escape Room: The Game|2016|wys2/swf_upload/2022/08/12/1660306072469045_lg_N_80x80_100_5_.jpg|6.750|6.97|Family Games|Electronic,Puzzle|Cooperative Game,Deduction,Elapsed Real Time Ending|204836|3|5|60|60|60|16|2.2766
8분 제국|Eight-Minute Empire|2013|wys2/swf_upload/2022/01/17/1642356937222253_lg_N_80x80_100_5_.jpg|6.738|6.97|Family Games|Territory Building|Area Majority / Influence,Area Movement,Auction: Dutch,Auction: Dutch Priority,Open Drafting,Set Collection|131366|2|5|20|8|20|13|1.6289
노 리트릿!: 러시안 프론트|No Retreat! The Russian Front|2011|wys2/swf_upload/2022/01/17/1642356959533348_lg_N_80x80_100_5_.jpg|6.753|8.25|Wargames|Wargame,World War II|Campaign / Battle Card Driven,Dice Rolling,Hexagon Grid,Ratio / Combat Results Table,Simulation,Zone of Control|68264|2|2|360|360|360|14|3.1278
테베: 툼 레이더|Thebes: The Tomb Raiders|2012|wys2/swf_upload/2022/01/17/1642356982834721_lg_N_80x80_100_5_.jpg|6.741|8.00|Family Games|Card Game,Exploration,Travel|Open Drafting,Set Collection,Time Track|114387|2|4|30|30|30|8|2.0417
피스트 오브 드래곤스톤|Fist of Dragonstones|2002|wys2/swf_upload/2022/01/17/1642357033781475_lg_N_80x80_100_5_.jpg|6.756|7.28|Family Games|Bluffing,Fantasy,Medieval|Auction/Bidding,Auction: Sealed Bid,Set Collection|4471|3|6|45|45|45|8|1.8634
라찌아|Razzia|1992|wys2/swf_upload/2022/01/17/1642357058996212_lg_N_80x80_100_5_.jpg|6.753|7.41|Family Games|Bluffing,Card Game,Economic,Mafia,Negotiation|Auction/Bidding,Simultaneous Action Selection|841|3|8|30|30|30|12|1.3913
허베이셔스|Herbaceous|2017|wys2/swf_upload/2022/01/29/1643386059822297_lg_N_80x80_100_5_.jpg|6.753|7.44|Family Games|Card Game,Print & Play|Push Your Luck,Set Collection,Solo / Solitaire Game|195314|1|4|20|15|20|8|1.2
더 로스트 익스퍼디션|The Lost Expedition|2017|wys2/swf_upload/2022/01/20/1642680323034383_lg_N_80x80_100_5_.jpg|6.753|7.20|Thematic Games|Adventure,Card Game,Exploration|Cooperative Game,Hand Management,Solo / Solitaire Game|216459|1|5|50|30|50|14|1.8644
펍스|Pups|2016|wys2/swf_upload/2022/01/29/1643386333496273_lg_N_80x80_100_5_.jpg|6.749|7.02|Wargames|Animals,Card Game|Auction/Bidding,Trick-taking|200512|2|5|30|15|30|8|1.6667
블랙 스완|Black Swan|2012|wys2/swf_upload/2022/01/29/1643386411829028_lg_N_80x80_100_5_.png|6.752|6.74|Wargames||Team-Based Game,Trick-taking|132598|2|4|30|30|30|10|1.75
노아의 홍수 이후|After the Flood|2008|wys2/swf_upload/2022/01/29/1643386570141642_lg_N_80x80_100_5_.jpg|6.756|8.83|Strategy Games|Ancient,Civilization,Fighting|Area Majority / Influence,Area-Impulse,Dice Rolling,Set Collection|36888|3|3|180|180|180|13|3.705
