이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
한밤의 뱀파이어|One Night Ultimate Vampire|2015|wys2/swf_upload/2022/04/01/1648819390671296_lg_N_80x80_100_5_.png|6.704|7.16|Party Games|Bluffing,Card Game,Deduction,Horror,Party Game|Hidden Roles,Role Playing,Traitor Game,Variable Player Powers,Voting|180956|3|10|10|10|10|8|1.6
레지스탕스 - 쿠: 리벨리언 G54|Coup: Rebellion G54|2014|wys2/swf_upload/2022/01/16/164227521815649_lg_N_80x80_100_5_.jpg|6.705|7.50|Party Games|Bluffing,Card Game,Deduction,Party Game,Political|Memory,Player Elimination,Take That,Variable Player Powers|148943|3|6|15|15|15|14|1.9351
스트랫-오-매틱 베이스볼|Strat-O-Matic Baseball|1962|wys2/swf_upload/2022/07/01/1656611230445885_lg_N_80x80_100_5_.jpg|6.704|9.00|Thematic Games|Sports|Dice Rolling,Simulation|2251|1|2|45|45|45|11|2.375
던전 커맨드: 고블린의 폭정|Dungeon Command: Tyranny of Goblins|2012|data/boardgame_strategy/2013/11/06/1383665021-582345_N_80x80_100_5_.jpg|6.706|7.20|Customizable Games|Card Game,Fantasy,Miniatures,Wargame|Action Points,Area Movement,Campaign / Battle Card Driven,Hand Management|124968|2|4|90|90|90|12|2.7143
전투파괴학원 단게로스|DANGEROUS Board Game|2017|data/boardgame_strategy_reg/2018/10/24/1540362720-699268_N_80x80_100_5_.jpg|6.707|9.20|Thematic Games|Fighting|Area Movement,Deck, Bag, and Pool Building,Dice Rolling|256374|1|5|120|40|120|14|2
안드로메다|Andromeda|1999|wys2/swf_upload/2022/01/30/1643481564981915_lg_N_80x80_100_5_.jpg|6.707|7.13|Family Games|Science Fiction,Space Exploration,Territory Building|Area Majority / Influence,Set Collection,Trading|141|3|5|60|60|60|10|2.2266
게이머 오버: 게임 박람회 살인 사건|Gamer Over! A Game Fair Murder Mystery|2017|data/boardgame_strategy_reg/2018/10/23/1540255303-893703_N_80x80_100_5_.jpg|6.705|8.06|Party Games|Murder/Mystery|Role Playing|225303|7|8|180|120|180|12|0
윙크|WINK|1994|wys2/swf_upload/2022/02/19/164520241608822_lg_N_80x80_100_5_.jpg|6.705|7.17|Party Games|Card Game,Party Game|Targeted Clues|13507|3|8|20|20|20|8|1.12
디비나레|Divinare|2012|data/boardgame_strategy/2013/06/14/1371153200-567477_N_80x80_100_5_.jpg|6.704|6.96|Family Games|Bluffing,Card Game,Deduction|Betting and Bluffing,Hand Management,Memory,Open Drafting|118418|2|4|30|30|30|13|1.7685
팩 & 스택|Pack & Stack|2008|data/boardgame_strategy/2013/06/16/1371389223-902148_N_80x80_100_5_.jpg|6.706|6.96|Family Games|Action / Dexterity,Puzzle,Real-time|Dice Rolling,Simultaneous Action Selection|37120|3|6|45|30|45|10|1.276
엘프의 제왕|King of the Elves|1999|data/boardgame_strategy/2013/06/17/1371477599-935612_N_80x80_100_5_.jpg|6.707|7.33|Family Games|Card Game,Fantasy,Travel|Hand Management,Open Drafting,Point to Point Movement|229|2|6|60|60|60|10|2.0246
광합성|Photosynthesis|2017|wys2/swf_upload/2022/01/30/164348165736982_lg_N_80x80_100_5_.jpg|6.690|6.68|Abstract Strategy Games|Abstract Strategy,Economic|Action Points,Area Majority / Influence,Bias,End Game Bonuses,Hexagon Grid,Income,Turn Order: Progressive|218603|2|4|60|30|60|10|2.2759
알피에스 워즈|Action R.P.S|2017|data/boardgame_strategy/2017/03/15/1489552100-996652.gif|6.704|9.00|Wargames|Party Game|Memory,Modular Board,Race,Rock-Paper-Scissors|130167|3|5|20|20|20|7|2
에버델: 호외요! 호외! 확장|Everdell|2018|data/boardgame_strategy_reg/2019/10/16/1571210356-371966_N_80x80_100_5_.jpg|6.706|7.12|Strategy Games|Animals,Card Game,City Building,Fantasy|Contracts,End Game Bonuses,Hand Management,Income,Open Drafting,Ownership,Set Collection,Solo / Solitaire Game,Variable Set-up,Worker Placement|199792|1|4|80|40|80|13|2.8081
테라|Terra|2014|data/boardgame_strategy/2015/10/09/1444371480-121859_N_80x80_100_5_.png|6.705|7.04|Family Games|Educational,Trivia|Betting and Bluffing|153507|2|6|60|45|60|10|1.5091
도룡: 용의 길|Tao Long: The Way of the Dragon|2017|wys2/swf_upload/2022/01/30/1643481879784946_lg_N_80x80_100_5_.png|6.703|7.25|Abstract Strategy Games|Abstract Strategy|Grid Movement,Mancala,Modular Board,Point to Point Movement|215613|2|2|30|10|30|14|2.7333
탈루바|Taluva|2006|wys2/swf_upload/2022/01/30/1643482030319120_lg_N_80x80_100_5_.png|6.705|7.14|Strategy Games|Abstract Strategy,Territory Building|Layering,Race,Team-Based Game,Tile Placement|24508|2|4|45|45|45|8|2.2642
캘리코|Calico|2020|data/boardgame_strategy/2021/01/21/1611206540-236776_N_80x80_100_5_.jpg|6.704|7.63|Family Games|Abstract Strategy,Animals,Puzzle|Enclosure,End Game Bonuses,Hexagon Grid,Open Drafting,Pattern Building,Scenario / Mission / Campaign Game,Set Collection,Solo / Solitaire Game,Tile Placement|283155|1|4|45|30|45|10|2.1965
리처드 3세: 장미 전쟁|Richard III: The Wars of the Roses|2009|wys2/swf_upload/2022/04/19/1650345512374224_lg_N_80x80_100_5_.jpg|6.704|9.00|Wargames|Civil War,Medieval,Wargame|Area Movement,Area-Impulse,Campaign / Battle Card Driven,Dice Rolling,Hand Management,Secret Unit Deployment,Simultaneous Action Selection|25277|2|2|120|120|120|12|2.6397
